"['S', 'S', 'S']"
"['S', 'S', 'S']","['S', 'S', 'S', 'S', 'S', 'S']"
"['S', 'S', 'S']","['S', 'S', 'S', 'S', 'S', 'S']",[]
[],"['S', 'S', 'S', 'S', 'S', 'S']",[],[]
[],[],[],[],[]
[],[],[],[],[],"['S', 'S']"
['S'],[],[],[],[],"['S', 'S']",[]
['S'],"['S', 'S']",[],[],[],"['S', 'S']",[],[]
[],"['S', 'S']",[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],['S']
['S'],[],[],[],[],[],[],[],[],['S'],['S']
[],['S'],[],[],[],['S'],[],[],[],['S'],['S'],[]
['S'],[],['VP'],[],[],['S'],[],[],[],[],['S'],[],['VP']
[],['S'],[],['NP'],[],['NP'],[],['VP'],[],[],['NP'],[],['VP'],['NP']
['kon'],"['pp', 'NP']","['v', 'VP']",['det'],['n'],['det'],['n'],"['v', 'VP']","['adj', 'ADJP']",['kon'],['det'],['n'],"['v', 'VP']","['adj', 'ADJP']",['n']
